bairro,ano,óbitos-gravidez,codigo
PITANGUEIRAS,2011,0,094
FREGUESIA-ILHA,2011,0,098
JARDIM GUANABARA,2011,0,099
JARDIM CARIOCA,2011,0,100
TAUA,2011,0,101
MONERO,2011,0,102
PORTUGUESA,2011,1,103
GALEAO,2011,0,104
GUADALUPE,2011,0,106
ANCHIETA,2011,0,107
RICARDO ALBUQUERQUE,2011,0,109
COELHO NETO,2011,0,110
ACARI,2011,0,111
BARROS FILHO,2011,0,112
COSTA BARROS,2011,0,113
PAVUNA,2011,0,114
JACAREPAGUA,2011,0,115
ANIL,2011,1,116
GARDENIA AZUL,2011,0,117
CIDADE DE DEUS,2011,0,118
CURICICA,2011,1,119
FREGUESIA-JPA,2011,0,120
TAQUARA,2011,0,122
TANQUE,2011,0,123
PRACA SECA,2011,0,124
VILA VALQUEIRE,2011,0,125
ITANHANGA,2011,0,127
BARRA DA TIJUCA,2011,0,128
VARGEM PEQUENA,2011,0,130
RECREIO BANDEIRANTES,2011,0,132
VILA MILITAR,2011,0,135
MAGALHAES BASTOS,2011,0,138
REALENGO,2011,1,139
PADRE MIGUEL,2011,0,140
BANGU,2011,1,141
SENADOR CAMARA,2011,0,142
SANTISSIMO,2011,0,143
CAMPO GRANDE,2011,1,144
SENADOR VASCONCELOS,2011,0,145
INHOAIBA,2011,0,146
COSMOS,2011,0,147
PACIENCIA,2011,1,148
SANTA CRUZ,2011,3,149
SEPETIBA,2011,0,150
GUARATIBA,2011,0,151
BARRA DE GUARATIBA,2011,0,152
PEDRA DE GUARATIBA,2011,0,153
ROCINHA,2011,0,154
JACAREZINHO,2011,0,155
COMPLEXO DO ALEMAO,2011,0,156
COMPLEXO DA MARE,2011,0,157
PARQUE COLUMBIA,2011,0,158
VASCO DA GAMA,2011,0,159
ILHA DO GOVERNADOR - IGNORADO,2011,0,998
IGNORADO BAIRRO-MRJ,2011,0,999
,2011,3,
SAUDE,2012,0,001
GAMBOA,2012,0,002
CAJU,2012,0,004
CENTRO,2012,0,005
CATUMBI,2012,0,006
RIO COMPRIDO,2012,0,007
CIDADE NOVA,2012,0,008
ESTACIO,2012,1,009
SAO CRISTOVAO,2012,0,010
MANGUEIRA,2012,0,011
BENFICA,2012,0,012
SANTA TERESA,2012,0,014
FLAMENGO,2012,0,015
BOTAFOGO,2012,0,020
COPACABANA,2012,3,024
IPANEMA,2012,0,025
