codigo,bairro,ano,obitos_0_364,obitos_0_6,obitos_7_27,nascidos_vivos,obitos_28_364,taxa_mortalidade_infantil,taxa_mortalidade_pos_neonatal
129,CAMORIM,2025,1.0,0.0,0.0,35,1.0,28.57142857142857,28.57142857142857
130,VARGEM PEQUENA,2025,7.0,4.0,1.0,325,2.0,21.538461538461537,6.153846153846154
131,VARGEM GRANDE,2025,3.0,1.0,0.0,255,2.0,11.76470588235294,7.8431372549019605
132,RECREIO BANDEIRANTES,2025,9.0,3.0,1.0,1245,5.0,7.228915662650603,4.016064257028112
133,GRUMARI,2025,0.0,0.0,0.0,0,0.0,,
134,DEODORO,2025,2.0,2.0,0.0,124,0.0,16.129032258064516,0.0
135,VILA MILITAR,2025,3.0,2.0,1.0,108,0.0,27.777777777777775,0.0
136,CAMPO DOS AFONSOS,2025,2.0,2.0,0.0,36,0.0,55.55555555555555,0.0
137,JARDIM SULACAP,2025,1.0,1.0,0.0,132,0.0,7.575757575757576,0.0
138,MAGALHAES BASTOS,2025,6.0,2.0,2.0,208,2.0,28.846153846153847,9.615384615384617
139,REALENGO,2025,17.0,5.0,5.0,1463,7.0,11.619958988380041,4.784688995215311
140,PADRE MIGUEL,2025,10.0,5.0,1.0,522,4.0,19.157088122605362,7.662835249042145
141,BANGU,2025,20.0,7.0,3.0,1977,10.0,10.116337885685383,5.058168942842691
142,SENADOR CAMARA,2025,8.0,2.0,3.0,995,3.0,8.040201005025127,3.015075376884422
143,SANTISSIMO,2025,8.0,5.0,2.0,471,1.0,16.985138004246284,2.1231422505307855
144,CAMPO GRANDE,2025,40.0,16.0,12.0,3504,12.0,11.415525114155251,3.4246575342465753
145,SENADOR VASCONCELOS,2025,8.0,5.0,0.0,298,3.0,26.845637583892618,10.06711409395973
146,INHOAIBA,2025,7.0,3.0,1.0,752,3.0,9.308510638297872,3.9893617021276593
147,COSMOS,2025,21.0,10.0,3.0,954,8.0,22.0125786163522,8.385744234800839
148,PACIENCIA,2025,14.0,9.0,3.0,1157,2.0,12.100259291270527,1.7286084701815039
149,SANTA CRUZ,2025,53.0,28.0,12.0,3186,13.0,16.635279347143754,4.080351537978657
150,SEPETIBA,2025,9.0,2.0,2.0,753,5.0,11.952191235059761,6.6401062416998675
151,GUARATIBA,2025,13.0,6.0,3.0,1867,4.0,6.963042313872522,2.1424745581146225
152,BARRA DE GUARATIBA,2025,2.0,0.0,1.0,117,1.0,17.094017094017097,8.547008547008549
153,PEDRA DE GUARATIBA,2025,1.0,0.0,0.0,228,1.0,4.385964912280701,4.385964912280701
154,ROCINHA,2025,9.0,3.0,1.0,696,5.0,12.931034482758621,7.183908045977011
155,JACAREZINHO,2025,4.0,3.0,1.0,293,0.0,13.651877133105803,0.0
156,COMPLEXO DO ALEMAO,2025,6.0,0.0,1.0,361,5.0,16.62049861495845,13.850415512465373
157,COMPLEXO DA MARE,2025,15.0,6.0,5.0,1494,4.0,10.040160642570282,2.677376171352075
158,PARQUE COLUMBIA,2025,3.0,0.0,1.0,83,2.0,36.144578313253014,24.096385542168676
159,VASCO DA GAMA,2025,0.0,0.0,0.0,131,0.0,0.0,0.0
160,GERICINo,2025,1.0,1.0,0.0,14,0.0,71.42857142857143,0.0
161,LAPA,2025,0.0,0.0,0.0,39,0.0,0.0,0.0
162,VILA KENNEDY,2025,4.0,2.0,1.0,194,1.0,20.61855670103093,5.154639175257732
163,JABOUR,2025,0.0,0.0,0.0,17,0.0,0.0,0.0
164,ILHA DE GUARATIBA,2025,1.0,1.0,0.0,81,0.0,12.345679012345679,0.0
165,BARRA OLIMPICA,2025,3.0,1.0,1.0,503,1.0,5.964214711729622,1.9880715705765406
998,ILHA DO GOVERNADOR - IGNORADO,2025,0.0,0.0,0.0,12,0.0,0.0,0.0
999,IGNORADO BAIRRO-MRJ,2025,0.0,0.0,0.0,19,0.0,0.0,0.0
