bairro,ano,obitos precoces,codigo,nascidos vivos,taxa_mortalidade_precoce
HIGIENOPOLIS,2008,0,050,160,0.0
JACARE,2008,0,051,345,0.0
MARIA DA GRACA,2008,1,052,89,11.235955056179774
DEL CASTILHO,2008,2,053,238,8.403361344537815
INHAUMA,2008,4,054,938,4.264392324093817
ENGENHO DA RAINHA,2008,1,055,319,3.134796238244514
TOMAS COELHO,2008,1,056,273,3.663003663003663
SAO FRANCISCO XAVIER,2008,1,057,47,21.27659574468085
ROCHA,2008,1,058,81,12.345679012345679
RIACHUELO,2008,0,059,126,0.0
SAMPAIO,2008,2,060,136,14.705882352941176
ENGENHO NOVO,2008,2,061,597,3.3500837520938025
LINS DE VASCONCELOS,2008,2,062,559,3.5778175313059033
MEIER,2008,2,063,550,3.6363636363636362
TODOS OS SANTOS,2008,0,064,147,0.0
CACHAMBI,2008,1,065,370,2.7027027027027026
ENGENHO DE DENTRO,2008,2,066,550,3.6363636363636362
AGUA SANTA,2008,1,067,115,8.695652173913043
ENCANTADO,2008,1,068,137,7.299270072992701
PIEDADE,2008,1,069,546,1.8315018315018314
ABOLICAO,2008,1,070,166,6.024096385542169
PILARES,2008,5,071,296,16.89189189189189
VILA KOSMOS,2008,0,072,93,0.0
VICENTE DE CARVALHO,2008,2,073,325,6.153846153846154
VILA DA PENHA,2008,1,074,460,2.1739130434782608
VISTA ALEGRE,2008,1,075,192,5.208333333333333
IRAJA,2008,7,076,1129,6.200177147918512
COLEGIO,2008,4,077,397,10.075566750629722
CAMPINHO,2008,1,078,223,4.484304932735426
QUINTINO BOCAIUVA,2008,2,079,309,6.472491909385114
CAVALCANTE,2008,3,080,215,13.953488372093023
ENGENHEIRO LEAL,2008,0,081,41,0.0
CASCADURA,2008,2,082,400,5.0
MADUREIRA,2008,6,083,821,7.3081607795371495
VAZ LOBO,2008,1,084,269,3.717472118959108
TURIACU,2008,2,085,147,13.605442176870747
ROCHA MIRANDA,2008,3,086,607,4.942339373970346
HONORIO GURGEL,2008,0,087,339,0.0
OSWALDO CRUZ,2008,2,088,341,5.865102639296188
BENTO RIBEIRO,2008,7,089,539,12.987012987012989
MARECHAL HERMES,2008,6,090,568,10.56338028169014
RIBEIRA,2008,0,091,28,0.0
CACUIA,2008,0,093,146,0.0
PITANGUEIRAS,2008,0,094,108,0.0
PRAIA DA BANDEIRA,2008,0,095,50,0.0
COCOTA,2008,0,096,104,0.0
BANCARIOS,2008,1,097,239,4.184100418410042
FREGUESIA-ILHA,2008,1,098,219,4.5662100456621
JARDIM GUANABARA,2008,1,099,250,4.0
JARDIM CARIOCA,2008,2,100,340,5.88235294117647
TAUA,2008,1,101,272,3.676470588235294
MONERO,2008,0,102,56,0.0
PORTUGUESA,2008,0,103,202,0.0
GALEAO,2008,1,104,363,2.7548209366391188
CIDADE UNIVERSITARIA,2008,1,105,23,43.47826086956522
GUADALUPE,2008,9,106,672,13.392857142857142
ANCHIETA,2008,8,107,1014,7.889546351084813
PARQUE ANCHIETA,2008,0,108,214,0.0
RICARDO ALBUQUERQUE,2008,1,109,268,3.7313432835820897
COELHO NETO,2008,3,110,379,7.9155672823219
ACARI,2008,7,111,409,17.114914425427873
BARROS FILHO,2008,2,112,211,9.47867298578199
COSTA BARROS,2008,6,113,705,8.51063829787234
PAVUNA,2008,5,114,1092,4.578754578754579
JACAREPAGUA,2008,13,115,1766,7.361268403171008
ANIL,2008,2,116,398,5.025125628140704
GARDENIA AZUL,2008,5,117,457,10.940919037199125
CIDADE DE DEUS,2008,4,118,734,5.449591280653951
CURICICA,2008,8,119,890,8.98876404494382
FREGUESIA-JPA,2008,2,120,682,2.932551319648094
PECHINCHA,2008,1,121,447,2.237136465324385
