codigo,bairro,ano,obitos_amarela,obitos_branca,obitos_indigena,obitos_parda,obitos_preta,obitos_nao_informado,nascidos_amarela,nascidos_branca,nascidos_indigena,nascidos_parda,nascidos_preta,nascidos_nao_informado,percentual_amarela,percentual_branca,percentual_indigena,percentual_parda,percentual_preta,percentual_nao_informado,obitos_total,nascidos_total,percentual_total
050,HIGIENOPOLIS,2025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,0.0,49.0,24.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,118.0,0.0
087,HONORIO GURGEL,2025,0.0,4.0,0.0,0.0,1.0,1.0,1.0,51.0,0.0,89.0,42.0,0.0,0.0,7.84,,0.0,2.38,,6.0,183.0,3.28
021,HUMAITA,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,0.0,13.0,5.0,0.0,,0.0,,7.69,0.0,,1.0,69.0,1.45
999,IGNORADO BAIRRO-MRJ,2025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,10.0,3.0,0.0,0.0,0.0,,0.0,0.0,,0.0,19.0,0.0
164,ILHA DE GUARATIBA,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,0.0,48.0,3.0,1.0,,0.0,,2.08,0.0,0.0,1.0,81.0,1.23
998,ILHA DO GOVERNADOR - IGNORADO,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,1.0,0.0,,0.0,,0.0,0.0,,0.0,12.0,0.0
054,INHAUMA,2025,0.0,2.0,0.0,4.0,0.0,0.0,0.0,157.0,1.0,263.0,115.0,3.0,,1.27,0.0,1.52,0.0,0.0,6.0,539.0,1.11
146,INHOAIBA,2025,0.0,4.0,0.0,3.0,0.0,0.0,3.0,194.0,0.0,403.0,147.0,5.0,0.0,2.06,,0.74,0.0,0.0,7.0,752.0,0.93
025,IPANEMA,2025,0.0,5.0,0.0,0.0,0.0,1.0,1.0,197.0,1.0,33.0,10.0,5.0,0.0,2.54,0.0,0.0,0.0,20.0,6.0,247.0,2.43
076,IRAJA,2025,0.0,5.0,0.0,3.0,0.0,1.0,1.0,259.0,1.0,297.0,116.0,9.0,0.0,1.93,0.0,1.01,0.0,11.11,9.0,683.0,1.32
127,ITANHANGA,2025,0.0,6.0,0.0,4.0,0.0,1.0,8.0,251.0,2.0,470.0,55.0,5.0,0.0,2.39,0.0,0.85,0.0,20.0,11.0,791.0,1.39
163,JABOUR,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,1.0,0.0,,0.0,,0.0,0.0,,0.0,17.0,0.0
051,JACARE,2025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,86.0,44.0,0.0,0.0,0.0,,0.0,0.0,,0.0,166.0,0.0
115,JACAREPAGUA,2025,0.0,13.0,0.0,16.0,1.0,2.0,4.0,578.0,1.0,1077.0,208.0,10.0,0.0,2.25,0.0,1.49,0.48,20.0,32.0,1878.0,1.7
155,JACAREZINHO,2025,0.0,0.0,0.0,2.0,2.0,0.0,1.0,56.0,0.0,144.0,92.0,0.0,0.0,0.0,,1.39,2.17,,4.0,293.0,1.37
049,JARDIM AMERICA,2025,0.0,1.0,0.0,1.0,0.0,0.0,1.0,84.0,0.0,135.0,44.0,2.0,0.0,1.19,,0.74,0.0,0.0,2.0,266.0,0.75
028,JARDIM BOTANICO,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,13.0,5.0,2.0,,0.0,,0.0,0.0,0.0,0.0,86.0,0.0
100,JARDIM CARIOCA,2025,0.0,1.0,0.0,1.0,0.0,1.0,0.0,78.0,0.0,96.0,24.0,1.0,,1.28,,1.04,0.0,100.0,3.0,199.0,1.51
099,JARDIM GUANABARA,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,40.0,6.0,1.0,,0.0,,0.0,0.0,0.0,0.0,170.0,0.0
137,JARDIM SULACAP,2025,0.0,1.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,46.0,19.0,2.0,,1.54,,0.0,0.0,0.0,1.0,132.0,0.76
126,JOA,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,8.0,0.0
027,LAGOA,2025,0.0,1.0,0.0,2.0,0.0,0.0,1.0,103.0,0.0,14.0,1.0,4.0,0.0,0.97,,14.29,0.0,0.0,3.0,123.0,2.44
161,LAPA,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,10.0,8.0,0.0,,0.0,,0.0,0.0,,0.0,39.0,0.0
017,LARANJEIRAS,2025,0.0,0.0,0.0,1.0,0.0,0.0,1.0,156.0,0.0,35.0,14.0,0.0,0.0,0.0,,2.86,0.0,,1.0,206.0,0.49
026,LEBLON,2025,0.0,1.0,0.0,1.0,0.0,0.0,2.0,226.0,1.0,31.0,7.0,8.0,0.0,0.44,0.0,3.23,0.0,0.0,2.0,275.0,0.73
023,LEME,2025,0.0,1.0,0.0,0.0,0.0,0.0,2.0,39.0,0.0,40.0,11.0,2.0,0.0,2.56,,0.0,0.0,0.0,1.0,94.0,1.06
062,LINS DE VASCONCELOS,2025,0.0,2.0,0.0,0.0,1.0,0.0,0.0,92.0,0.0,122.0,89.0,1.0,,2.17,,0.0,1.12,0.0,3.0,304.0,0.99
083,MADUREIRA,2025,0.0,1.0,0.0,2.0,0.0,2.0,1.0,88.0,0.0,195.0,92.0,2.0,0.0,1.14,,1.03,0.0,100.0,5.0,378.0,1.32
138,MAGALHAES BASTOS,2025,0.0,3.0,0.0,1.0,0.0,2.0,1.0,59.0,0.0,103.0,43.0,2.0,0.0,5.08,,0.97,0.0,100.0,6.0,208.0,2.88
011,MANGUEIRA,2025,0.0,0.0,0.0,2.0,0.0,1.0,0.0,33.0,1.0,92.0,72.0,1.0,,0.0,0.0,2.17,0.0,100.0,3.0,199.0,1.51
039,MANGUINHOS,2025,0.0,2.0,0.0,4.0,0.0,2.0,2.0,78.0,0.0,201.0,106.0,0.0,0.0,2.56,,1.99,0.0,,8.0,387.0,2.07
035,MARACANA,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,35.0,12.0,2.0,,0.0,,0.0,0.0,0.0,0.0,131.0,0.0
090,MARECHAL HERMES,2025,0.0,1.0,0.0,4.0,1.0,1.0,3.0,112.0,0.0,142.0,77.0,0.0,0.0,0.89,,2.82,1.3,,7.0,334.0,2.1
052,MARIA DA GRACA,2025,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,46.0,17.0,2.0,,2.86,,0.0,0.0,0.0,1.0,100.0,1.0
063,MEIER,2025,0.0,3.0,0.0,2.0,1.0,0.0,0.0,149.0,0.0,66.0,30.0,2.0,,2.01,,3.03,3.33,0.0,6.0,247.0,2.43
102,MONERO,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,9.0,3.0,0.0,,0.0,,0.0,0.0,,0.0,39.0,0.0
042,OLARIA,2025,0.0,5.0,0.0,0.0,0.0,1.0,3.0,132.0,0.0,182.0,97.0,2.0,0.0,3.79,,0.0,0.0,50.0,6.0,416.0,1.44
088,OSWALDO CRUZ,2025,0.0,1.0,0.0,1.0,0.0,0.0,1.0,50.0,0.0,98.0,47.0,0.0,0.0,2.0,,1.02,0.0,,2.0,196.0,1.02
148,PACIENCIA,2025,0.0,4.0,0.0,8.0,2.0,0.0,2.0,243.0,0.0,618.0,270.0,24.0,0.0,1.65,,1.29,0.74,0.0,14.0,1157.0,1.21
140,PADRE MIGUEL,2025,0.0,2.0,0.0,7.0,1.0,0.0,3.0,125.0,2.0,293.0,98.0,1.0,0.0,1.6,0.0,2.39,1.02,0.0,10.0,522.0,1.92
013,PAQUETA,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,16.0,6.0,0.0,,0.0,,0.0,0.0,,0.0,30.0,0.0
047,PARADA DE LUCAS,2025,0.0,0.0,0.0,3.0,0.0,1.0,0.0,87.0,0.0,114.0,53.0,1.0,,0.0,,2.63,0.0,100.0,4.0,255.0,1.57
108,PARQUE ANCHIETA,2025,0.0,1.0,0.0,1.0,0.0,0.0,0.0,42.0,0.0,63.0,36.0,3.0,,2.38,,1.59,0.0,0.0,2.0,144.0,1.39
158,PARQUE COLUMBIA,2025,0.0,0.0,0.0,2.0,0.0,1.0,0.0,19.0,0.0,45.0,19.0,0.0,,0.0,,4.44,0.0,,3.0,83.0,3.61
114,PAVUNA,2025,0.0,4.0,0.0,15.0,1.0,0.0,1.0,168.0,2.0,475.0,230.0,12.0,0.0,2.38,0.0,3.16,0.43,0.0,20.0,888.0,2.25
121,PECHINCHA,2025,0.0,3.0,0.0,0.0,0.0,0.0,1.0,192.0,1.0,118.0,27.0,0.0,0.0,1.56,0.0,0.0,0.0,,3.0,339.0,0.88
153,PEDRA DE GUARATIBA,2025,0.0,1.0,0.0,0.0,0.0,0.0,1.0,62.0,0.0,135.0,27.0,3.0,0.0,1.61,,0.0,0.0,0.0,1.0,228.0,0.44
043,PENHA,2025,0.0,3.0,0.0,2.0,1.0,1.0,2.0,152.0,2.0,307.0,146.0,0.0,0.0,1.97,0.0,0.65,0.68,,7.0,609.0,1.15
044,PENHA CIRCULAR,2025,0.0,5.0,0.0,2.0,1.0,0.0,0.0,121.0,1.0,172.0,62.0,0.0,,4.13,0.0,1.16,1.61,,8.0,356.0,2.25
069,PIEDADE,2025,0.0,0.0,0.0,3.0,0.0,0.0,0.0,125.0,0.0,142.0,59.0,2.0,,0.0,,2.11,0.0,0.0,3.0,328.0,0.91
071,PILARES,2025,0.0,1.0,0.0,0.0,1.0,0.0,1.0,67.0,0.0,78.0,45.0,0.0,0.0,1.49,,0.0,2.22,,2.0,191.0,1.05
094,PITANGUEIRAS,2025,0.0,0.0,0.0,2.0,0.0,0.0,0.0,26.0,0.0,39.0,10.0,1.0,,0.0,,5.13,0.0,0.0,2.0,76.0,2.63
