bairro;codbairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais
Turiaçú;85;85;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;649;717;635;704;813;811;1556;1711;1527;1364;1117
Rocha Miranda;86;86;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;1724;2202;2110;2243;2489;2418;4977;5094;4897;4460;3746
Honório Gurgel;87;87;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;933;1163;1154;1186;1272;1319;2383;2588;2332;2056;1825
Osvaldo Cruz;88;88;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;1289;1567;1585;1526;1991;2044;3820;4229;4258;4042;3644
Bento Ribeiro;89;89;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;1541;1960;1901;2064;2392;2523;4832;5190;5353;5005;4528
Marechal Hermes;90;90;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;1963;2318;2367;2592;2848;2878;5470;5711;5698;5205;4449
Ribeira;91;91;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;129;126;170;161;208;196;485;520;526;451;497
Zumbi;92;92;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;78;81;84;79;90;110;244;280;264;250;257
Cacuia;93;93;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;439;554;531;606;669;731;1526;1548;1514;1225;1047
Pitangueiras;94;94;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;503;666;648;588;741;746;1422;1543;1346;1158;881
Praia da Bandeira;95;95;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;205;252;265;267;321;360;821;836;671;578;577
Cocotá;96;96;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;174;254;229;234;273;356;770;731;727;668;605
Bancários;97;97;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;600;619;615;692;864;931;1689;1629;1305;1131;987
Freguesia (Ilha);98;98;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;828;935;950;968;1147;1270;2290;2337;2016;1737;1421
Jardim Guanabara;99;99;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;967;1100;1241;1297;1582;1599;3605;4143;3968;3544;4038
Jardim Carioca;100;100;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;790;1094;1041;1190;1378;1371;2787;3212;2914;2444;2152
Tauá;101;101;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;1230;1612;1560;1642;2077;1975;3870;4071;3248;2825;2370
Moneró;102;102;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;181;255;265;247;340;370;799;752;847;739;928
Portuguesa;103;103;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;839;983;980;1073;1374;1414;2839;2911;2562;2274;2582
Galeão;104;104;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;1448;1547;1500;1479;1581;1522;3646;3346;2178;1649;910
Cidade Universitária;105;105;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;65;91;65;88;139;111;188;169;173;119;80
Guadalupe;106;106;ANCHIETA;22;XXII Anchieta;Pavuna;3.6;Área de Planejamento 3;3;2073;2415;2265;2522;2880;2847;5803;5986;5330;4590;4320
Anchieta;107;107;ANCHIETA;22;XXII Anchieta;Pavuna;3.6;Área de Planejamento 3;3;2866;3428;3265;3560;3851;3998;7453;7651;6551;5490;3968
Parque Anchieta;108;108;ANCHIETA;22;XXII Anchieta;Pavuna;3.6;Área de Planejamento 3;3;962;1211;1166;1325;1510;1423;2799;3264;3198;2496;2479
Ricardo de Albuquerque;109;109;ANCHIETA;22;XXII Anchieta;Pavuna;3.6;Área de Planejamento 3;3;1345;2080;1837;1903;2088;1996;3790;4066;3553;2903;2141
Coelho Neto;110;110;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;1190;1543;1543;1610;1930;1967;3513;3849;3752;3160;2698
Acari;111;111;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;2112;2834;2265;2389;2660;2616;4733;4282;2768;1902;1105
Barros Filho;112;112;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;1400;1641;1518;1437;1638;1549;3229;2890;2292;1740;1108
Costa Barros;113;113;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;1952;2030;2034;2016;2295;2090;3720;3523;2973;2208;1427
Pavuna;114;114;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;5892;6870;6257;6681;7598;7179;13660;13683;11591;9025;6885
Jacarepaguá;115;115;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;11499;12539;11845;12342;15122;15751;30842;26480;18906;12727;7723
