bairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;Sexo masculino, 0 a 4 anos;Sexo masculino, 5 a 9 anos;Sexo masculino, 10 a 14 anos;Sexo masculino, 15 a 19 anos;Sexo masculino, 20 a 24 anos;Sexo masculino, 25 a 29 anos;Sexo masculino, 30 a 39 anos;Sexo masculino, 40 a 49 anos;Sexo masculino, 50 a 59 anos;Sexo masculino, 60 a 69 anos;Sexo masculino, 70 anos ou mais;Sexo feminino, 0 a 4 anos;Sexo feminino, 5 a 9 anos;Sexo feminino, 10 a 14 anos;Sexo feminino, 15 a 19 anos;Sexo feminino, 20 a 24 anos;Sexo feminino, 25 a 29 anos;Sexo feminino, 30 a 39 anos;Sexo feminino, 40 a 49 anos;Sexo feminino, 50 a 59 anos;Sexo feminino, 60 a 69 anos;Sexo feminino, 70 anos ou mais
Gávea;29;LAGOA;6;VI Lagoa;Zona Sul;21;Área de Planejamento 2;2;294;283;363;424;597;670;1135;915;1007;741;619;318;314;362;419;614;711;1319;1279;1452;1072;1095
Gericinó;160;BANGU;17;XVII Bangu;Bangu;51;Área de Planejamento 5;5;121;103;107;622;3375;3159;3622;1331;459;112;52;109;102;151;166;319;269;423;302;148;60;55
Glória;16;BOTAFOGO;4;IV Botafogo;Zona Sul;21;Área de Planejamento 2;2;135;110;169;183;328;479;738;687;636;402;444;129;121;165;224;340;459;754;763;880;624;891
Grajaú;38;VILA ISABEL;9;IX Vila Isabel;Tijuca;22;Área de Planejamento 2;2;854;945;1062;1108;1369;1519;2677;2430;2313;1458;1466;830;947;1044;1120;1356;1623;3181;3012;3142;2178;3037
Grumari;133;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;42;Área de Planejamento 4;4;5;10;9;6;7;2;16;13;5;3;2;10;7;8;14;9;10;15;8;4;2;2
Guadalupe;106;ANCHIETA;22;XXII Anchieta;Pavuna;36;Área de Planejamento 3;3;1334;1456;1769;1660;1614;1745;3476;2941;2572;1803;1261;1282;1548;1843;1684;1879;1990;3834;3496;3349;2435;2173
Guaratiba;151;GUARATIBA;26;XXVI Guaratiba;Guaratiba;54;Área de Planejamento 5;5;4156;4847;5508;4749;4435;4594;9207;7109;4773;2697;1689;4086;4532;5288;4946;4566;4886;9795;7582;5177;3106;2321
Higienópolis;50;INHAUMA;12;XII Inhaúma;Inhaúma;34;Área de Planejamento 3;3;353;414;508;470;591;659;1146;1036;961;584;513;373;371;466;502;627;765;1267;1230;1229;766;903
Honório Gurgel;87;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;681;788;890;854;840;864;1512;1370;1125;793;503;664;746;899;871;849;949;1763;1639;1452;1010;927
Humaitá;21;BOTAFOGO;4;IV Botafogo;Zona Sul;21;Área de Planejamento 2;2;260;226;226;287;379;527;1031;832;872;580;502;221;215;236;272;444;649;1265;1051;1267;844;1099
Imperial de São Cristóvão;10;SAO CRISTOVAO;7;VII São Cristóvão;Centro;11;Área de Planejamento 1;1;642;711;850;896;1310;1467;2405;1836;1551;873;728;626;670;770;862;1047;1112;1983;1904;1719;1173;1375
Inhaúma;54;INHAUMA;12;XII Inhaúma;Inhaúma;34;Área de Planejamento 3;3;1514;1652;1803;1598;1677;1820;3275;2799;2333;1549;1112;1485;1641;1865;1746;1803;2039;3706;3242;2990;2031;2018
Inhoaíba;146;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;52;Área de Planejamento 5;5;2357;2636;3244;3042;2676;2632;4779;4226;2999;1600;947;2196;2581;3113;2904;2731;2838;5362;4605;3600;2020;1561
Ipanema;25;LAGOA;6;VI Lagoa;Zona Sul;21;Área de Planejamento 2;2;828;776;891;977;1219;1492;2850;2708;2548;2037;2491;744;760;853;940;1298;1662;3307;3206;3598;2975;4583
Irajá;76;IRAJA;14;XIV Irajá;Madureira;33;Área de Planejamento 3;3;2352;2553;3169;3213;3507;3781;6645;6148;5779;3811;3021;2177;2536;3007;3103;3540;4123;7522;7445;7797;5541;5612
Itanhangá;127;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;42;Área de Planejamento 4;4;1474;1517;1577;1461;1920;2090;3767;2548;1512;704;313;1421;1469;1539;1544;1955;2136;3925;2633;1594;793;523
Jacaré;51;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;283;349;401;376;351;384;697;560;462;266;226;313;356;399;351;371;423;747;656;560;349;396
Jacarepaguá;115;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;41;Área de Planejamento 4;4;6059;6013;6689;6550;8444;9008;14763;9794;6308;2873;1593;6026;5913;6455;6362;7843;8556;14518;10363;6924;3540;2732
Jacarezinho;155;JACAREZINHO;28;XXVIII Jacarezinho;Méier;32;Área de Planejamento 3;3;1457;1484;1707;1572;1802;1761;3060;2292;1721;941;439;1307;1453;1718;1671;1925;1879;3213;2586;1932;1081;838
Jardim América;49;VIGARIO GERAL;31;XXXI Vigário Geral;Penha;35;Área de Planejamento 3;3;636;699;912;1019;1294;1094;1765;1715;1479;714;731;609;673;872;866;1056;1101;1949;2057;1737;1035;1213
Jardim Botânico;28;LAGOA;6;VI Lagoa;Zona Sul;21;Área de Planejamento 2;2;383;385;441;473;501;673;1340;1243;1129;803;648;414;431;442;446;541;719;1607;1546;1544;1066;1234
Jardim Carioca;100;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;713;779;840;884;966;1074;1958;1566;1361;814;630;702;775;866;858;1060;1158;2075;1927;1725;1101;1016
Jardim Guanabara;99;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;689;701;909;911;1077;1364;2339;2268;2132;1496;1227;679;635;838;936;1171;1335;2639;2602;2510;1842;1913
Jardim Sulacap;137;REALENGO;33;XXXIII Realengo;Bangu;51;Área de Planejamento 5;5;316;379;465;454;424;527;941;1085;791;410;362;325;336;450;430;437;543;1154;1178;923;552;580
Joá;126;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;42;Área de Planejamento 4;4;14;12;19;21;27;56;52;61;59;59;33;15;21;18;13;22;31;73;65;65;52;30
Lagoa;27;LAGOA;6;VI Lagoa;Zona Sul;21;Área de Planejamento 2;2;518;431;484;516;666;646;1514;1400;1488;1218;877;456;401;455;515;653;798;1849;1779;1956;1345;1233
Laranjeiras;17;BOTAFOGO;4;IV Botafogo;Zona Sul;21;Área de Planejamento 2;2;871;895;1033;1163;1439;1916;3247;2999;2716;1848;1922;861;858;995;1106;1511;2080;3724;3743;3845;2883;3899
Leblon;26;LAGOA;6;VI Lagoa;Zona Sul;21;Área de Planejamento 2;2;794;836;952;1073;1248;1472;3118;2880;2935;2382;2615;790;796;890;1029;1305;1791;3650;3522;4000;3436;4530
Leme;23;COPACABANA;5;V Copacabana;Zona Sul;21;Área de Planejamento 2;2;259;295;342;373;466;589;1052;922;843;679;718;258;284;398;344;533;717;1207;1032;1143;998;1347
Lins de Vasconcelos;62;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;1028;1172;1323;1276;1310;1511;2722;2590;2062;1110;1220;951;1094;1318;1299;1465;1694;2994;3027;2606;1789;1926
Madureira;83;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;1290;1565;1786;1825;1979;1936;3493;3063;2887;1653;1467;1238;1479;1853;1772;2005;2166;3922;3652;3749;2496;2830
Magalhães Bastos;138;REALENGO;33;XXXIII Realengo;Bangu;51;Área de Planejamento 5;5;724;797;981;969;1058;1000;1735;1563;1343;747;558;699;776;906;975;1019;1068;1884;1859;1731;1061;977
