bairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;Sexo masculino, 0 a 4 anos;Sexo masculino, 5 a 9 anos;Sexo masculino, 10 a 14 anos;Sexo masculino, 15 a 19 anos;Sexo masculino, 20 a 24 anos;Sexo masculino, 25 a 29 anos;Sexo masculino, 30 a 39 anos;Sexo masculino, 40 a 49 anos;Sexo masculino, 50 a 59 anos;Sexo masculino, 60 a 69 anos;Sexo masculino, 70 anos ou mais;Sexo feminino, 0 a 4 anos;Sexo feminino, 5 a 9 anos;Sexo feminino, 10 a 14 anos;Sexo feminino, 15 a 19 anos;Sexo feminino, 20 a 24 anos;Sexo feminino, 25 a 29 anos;Sexo feminino, 30 a 39 anos;Sexo feminino, 40 a 49 anos;Sexo feminino, 50 a 59 anos;Sexo feminino, 60 a 69 anos;Sexo feminino, 70 anos ou mais
Rocha;58;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;284;252;329;337;356;285;686;673;456;348;284;258;267;310;388;404;372;770;881;581;481;540
Rocha Miranda;86;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;1695;1570;1661;1771;1688;1462;2959;2684;1768;1247;775;1629;1546;1544;1822;1712;1654;3368;3283;2193;1743;1479
Rocinha;154;ROCINHA;27;XXVII Rocinha;Zona Sul;21;Área de Planejamento 2;2;3127;2719;2276;2584;3540;3079;4858;3019;1510;681;350;3011;2680;2404;2839;3298;2969;4984;3296;1650;896;568
Sampaio;60;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;519;455;422;477;478;422;713;586;406;256;198;470;431;423;470;470;445;815;740;551;391;370
Santa Cruz;149;SANTA CRUZ;19;XIX Santa Cruz;Santa Cruz;53;Área de Planejamento 5;5;10180;9695;9092;9407;8873;7951;13921;11026;6778;3872;2118;9785;9541;9054;9391;9071;8280;15226;12526;7808;4897;3344
Santa Teresa;14;SANTA TEREZA;23;XXIII Santa Teresa;Centro;11;Área de Planejamento 1;1;1531;1426;1425;1632;1828;1721;3234;2649;1714;1188;883;1450;1456;1431;1666;1895;1788;3547;3335;2177;1586;1583
Santíssimo;143;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;52;Área de Planejamento 5;5;1599;1553;1544;1611;1514;1514;2652;2209;1328;765;428;1556;1521;1400;1518;1566;1481;2964;2408;1390;935;630
Santo Cristo;3;PORTUARIA;1;I Portuária;Centro;11;Área de Planejamento 1;1;374;367;349;419;429;394;662;609;381;317;249;331;357;318;403;427;398;728;765;492;424;425
São Conrado;31;LAGOA;6;VI Lagoa;Zona Sul;21;Área de Planejamento 2;2;344;323;344;499;496;405;714;773;693;382;264;311;362;392;494;523;496;908;936;734;426;336
São Francisco Xavier;57;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;289;316;324;319;311;288;640;498;305;214;165;292;258;290;337;356;314;687;596;364;309;315
Saúde;1;PORTUARIA;1;I Portuária;Centro;11;Área de Planejamento 1;1;63;73;71;106;95;93;176;156;102;82;55;75;61;69;84;107;78;159;178;112;81;110
Senador Camará;142;BANGU;17;XVII Bangu;Bangu;51;Área de Planejamento 5;5;5263;5195;5005;5423;5050;4537;8288;6784;4188;2578;1469;5073;4919;4787;5382;5105;4657;9022;7695;5033;3403;2375
Senador Vasconcelos;145;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;52;Área de Planejamento 5;5;1202;1226;1191;1252;1211;1093;2073;1773;1097;608;377;1193;1154;1097;1352;1270;1150;2340;1944;1285;780;617
Sepetiba;150;SANTA CRUZ;19;XIX Santa Cruz;Santa Cruz;53;Área de Planejamento 5;5;1623;1603;1622;1667;1504;1295;2438;2140;1512;1139;762;1671;1552;1556;1628;1485;1390;2728;2451;1756;1310;1060
Tanque;123;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;41;Área de Planejamento 4;4;1348;1265;1251;1484;1307;1180;2428;2181;1378;915;707;1192;1207;1240;1422;1368;1335;2761;2590;1580;1256;1067
Taquara;122;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;41;Área de Planejamento 4;4;3326;3346;3611;4138;4313;3455;6736;6364;4524;2678;1598;3005;3197;3596;4313;4239;3862;7898;7874;5274;3506;2888
Tauá;101;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;1513;1395;1293;1521;1532;1440;2455;2018;1325;826;509;1380;1300;1323;1564;1572;1472;2771;2377;1644;1073;881
Tijuca;33;TIJUCA;8;VIII Tijuca;Tijuca;22;Área de Planejamento 2;2;4147;4362;4827;6042;6300;5416;10244;9892;7807;6266;6378;4009;4233;4764;6192;6858;6185;12496;13467;11241;9728;12782
Todos os Santos;64;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;625;638;715;908;883;727;1576;1621;1142;825;664;566;581;669;891;1018;914;1913;2097;1465;1266;1223
Tomás Coelho;56;INHAUMA;12;XII Inhaúma;Inhaúma;34;Área de Planejamento 3;3;884;893;838;893;841;796;1615;1352;962;577;379;869;879;846;989;914;932;1859;1681;1190;778;613
Turiaçú;85;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;657;622;649;739;672;617;1131;1070;684;466;254;652;631;660;705;698;652;1334;1242;830;613;476
Urca;22;BOTAFOGO;4;IV Botafogo;Zona Sul;21;Área de Planejamento 2;2;170;206;266;246;186;219;533;505;318;221;200;188;224;220;214;263;270;626;588;364;314;409
Vargem Grande;131;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;42;Área de Planejamento 4;4;475;411;427;495;514;386;731;608;323;207;138;481;410;399;488;424;384;775;598;286;199;147
Vargem Pequena;130;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;42;Área de Planejamento 4;4;777;684;520;513;498;541;997;573;286;179;90;778;640;533;518;583;541;993;657;310;208;117
Vaz Lobo;84;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;546;482;456;490;487;434;803;766;504;403;245;468;443;450;552;535;476;958;946;689;564;480
Vicente de Carvalho;73;IRAJA;14;XIV Irajá;Madureira;33;Área de Planejamento 3;3;1041;982;979;1030;1047;963;1786;1447;976;732;465;1015;1027;904;1042;1095;1038;1944;1791;1241;998;767
Vidigal;30;LAGOA;6;VI Lagoa;Zona Sul;21;Área de Planejamento 2;2;693;599;569;634;708;673;1094;782;479;222;108;730;593;560;691;755;669;1184;977;554;271;174
Vigário Geral;48;VIGARIO GERAL;31;XXXI Vigário Geral;Penha;35;Área de Planejamento 3;3;2011;1903;1725;1778;1689;1458;2959;2277;1523;969;577;1972;1785;1704;1818;1815;1719;3205;2684;1788;1240;964
Vila da Penha;74;IRAJA;14;XIV Irajá;Madureira;33;Área de Planejamento 3;3;624;609;780;971;909;800;1546;1679;1390;936;650;627;623;708;1016;1097;973;1975;2268;1763;1232;1114
Vila Isabel;36;VILA ISABEL;9;IX Vila Isabel;Tijuca;22;Área de Planejamento 2;2;2412;2530;2759;3240;3147;2783;5341;5346;3750;2869;2401;2303;2451;2708;3277;3510;3134;6588;7097;5133;4323;4756
Vila Kosmos;72;IRAJA;14;XIV Irajá;Madureira;33;Área de Planejamento 3;3;540;573;657;753;664;546;1193;1325;673;541;599;548;610;664;713;724;622;1459;1530;936;924;879
Vila Militar;135;REALENGO;33;XXXIII Realengo;Bangu;51;Área de Planejamento 5;5;681;605;526;593;548;615;1239;780;561;288;134;641;559;554;613;636;753;1156;976;603;394;236
Vila Valqueire;125;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;41;Área de Planejamento 4;4;1009;989;1145;1339;1284;1111;2277;2229;1574;1089;710;894;1020;1142;1396;1374;1294;2637;2753;1843;1395;1213
Vista Alegre;75;IRAJA;14;XIV Irajá;Madureira;33;Área de Planejamento 3;3;233;279;277;319;317;258;545;623;387;310;282;217;228;254;334;302;310;685;750;512;476;449
Zumbi;92;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;58;55;59;73;92;77;130;143;110;69;69;44;49;59;87;86;65;155;185;153;108;115
