cod_ap_sms,ano,faixa_etaria,1. Causas evitáveis,2. Causas mal definidas,3. Demais causas (não claramente evitáveis),total,percentual_evitaveis
5.2,2007,de 1 a 4 anos,11,4,14,29,37.93
5.2,2007,menores de 1 ano,95,5,36,136,69.85
5.2,2007,menores de 5 anos,106,9,50,165,64.24
5.2,2008,de 1 a 4 anos,15,4,6,25,60.0
5.2,2008,menores de 1 ano,98,6,38,142,69.01
5.2,2008,menores de 5 anos,113,10,44,167,67.66
5.2,2009,de 1 a 4 anos,13,0,13,26,50.0
5.2,2009,menores de 1 ano,89,6,30,125,71.2
5.2,2009,menores de 5 anos,102,6,43,151,67.55
5.2,2010,de 1 a 4 anos,16,2,5,23,69.57
5.2,2010,menores de 1 ano,91,6,30,127,71.65
5.2,2010,menores de 5 anos,107,8,35,150,71.33
5.2,2011,de 1 a 4 anos,8,0,10,18,44.44
5.2,2011,menores de 1 ano,95,5,38,138,68.84
5.2,2011,menores de 5 anos,103,5,48,156,66.03
5.2,2012,de 1 a 4 anos,15,1,12,28,53.57
5.2,2012,menores de 1 ano,88,2,33,123,71.54
5.2,2012,menores de 5 anos,103,3,45,151,68.21
5.2,2013,de 1 a 4 anos,10,0,8,18,55.56
5.2,2013,menores de 1 ano,86,2,35,123,69.92
5.2,2013,menores de 5 anos,96,2,43,141,68.09
5.2,2014,de 1 a 4 anos,11,1,11,23,47.83
5.2,2014,menores de 1 ano,91,0,39,130,70.0
5.2,2014,menores de 5 anos,102,1,50,153,66.67
5.2,2015,de 1 a 4 anos,17,0,11,28,60.71
5.2,2015,menores de 1 ano,85,1,29,115,73.91
5.2,2015,menores de 5 anos,102,1,40,143,71.33
5.2,2016,de 1 a 4 anos,7,1,14,22,31.82
5.2,2016,menores de 1 ano,90,2,37,129,69.77
5.2,2016,menores de 5 anos,97,3,51,151,64.24
5.2,2017,de 1 a 4 anos,13,0,13,26,50.0
5.2,2017,menores de 1 ano,86,1,42,129,66.67
5.2,2017,menores de 5 anos,99,1,55,155,63.87
5.2,2018,de 1 a 4 anos,10,0,8,18,55.56
5.2,2018,menores de 1 ano,85,1,38,124,68.55
5.2,2018,menores de 5 anos,95,1,46,142,66.9
5.2,2019,de 1 a 4 anos,10,1,10,21,47.62
5.2,2019,menores de 1 ano,86,2,36,124,69.35
5.2,2019,menores de 5 anos,96,3,46,145,66.21
5.2,2020,de 1 a 4 anos,10,2,13,25,40.0
5.2,2020,menores de 1 ano,96,3,39,138,69.57
5.2,2020,menores de 5 anos,106,5,52,163,65.03
5.2,2021,de 1 a 4 anos,11,1,9,21,52.38
5.2,2021,menores de 1 ano,81,6,26,113,71.68
5.2,2021,menores de 5 anos,92,7,35,134,68.66
5.2,2022,de 1 a 4 anos,9,0,12,21,42.86
5.2,2022,menores de 1 ano,78,0,36,114,68.42
5.2,2022,menores de 5 anos,87,0,48,135,64.44
5.2,2023,de 1 a 4 anos,19,2,9,30,63.33
5.2,2023,menores de 1 ano,68,0,28,96,70.83
5.2,2023,menores de 5 anos,87,2,37,126,69.05
5.2,2024,de 1 a 4 anos,7,2,10,19,36.84
5.2,2024,menores de 1 ano,51,5,32,88,57.95
5.2,2024,menores de 5 anos,58,7,42,107,54.21
5.2,2025,de 1 a 4 anos,7,0,8,15,46.67
5.2,2025,menores de 1 ano,67,0,33,100,67.0
5.2,2025,menores de 5 anos,74,0,41,115,64.35
5.3,2006,de 1 a 4 anos,10,8,7,25,40.0
5.3,2006,menores de 1 ano,57,8,24,89,64.04
5.3,2006,menores de 5 anos,67,16,31,114,58.77
5.3,2007,de 1 a 4 anos,9,3,5,17,52.94
5.3,2007,menores de 1 ano,60,7,29,96,62.5
5.3,2007,menores de 5 anos,69,10,34,113,61.06
5.3,2008,de 1 a 4 anos,8,3,6,17,47.06
5.3,2008,menores de 1 ano,63,6,24,93,67.74
5.3,2008,menores de 5 anos,71,9,30,110,64.55
5.3,2009,de 1 a 4 anos,7,3,8,18,38.89
5.3,2009,menores de 1 ano,77,7,26,110,70.0
5.3,2009,menores de 5 anos,84,10,34,128,65.62
5.3,2010,de 1 a 4 anos,5,1,3,9,55.56
5.3,2010,menores de 1 ano,60,2,22,84,71.43
5.3,2010,menores de 5 anos,65,3,25,93,69.89
5.3,2011,de 1 a 4 anos,8,0,6,14,57.14
5.3,2011,menores de 1 ano,68,3,24,95,71.58
5.3,2011,menores de 5 anos,76,3,30,109,69.72
5.3,2012,de 1 a 4 anos,10,1,7,18,55.56
5.3,2012,menores de 1 ano,81,0,24,105,77.14
5.3,2012,menores de 5 anos,91,1,31,123,73.98
5.3,2013,de 1 a 4 anos,7,2,9,18,38.89
5.3,2013,menores de 1 ano,88,4,18,110,80.0
5.3,2013,menores de 5 anos,95,6,27,128,74.22
5.3,2014,de 1 a 4 anos,4,1,8,13,30.77
5.3,2014,menores de 1 ano,84,1,26,111,75.68
5.3,2014,menores de 5 anos,88,2,34,124,70.97
5.3,2015,de 1 a 4 anos,7,1,5,13,53.85
5.3,2015,menores de 1 ano,93,2,18,113,82.3
5.3,2015,menores de 5 anos,100,3,23,126,79.37
5.3,2016,de 1 a 4 anos,8,1,6,15,53.33
5.3,2016,menores de 1 ano,101,1,32,134,75.37
5.3,2016,menores de 5 anos,109,2,38,149,73.15
5.3,2017,de 1 a 4 anos,8,1,9,18,44.44
5.3,2017,menores de 1 ano,52,0,20,72,72.22
5.3,2017,menores de 5 anos,60,1,29,90,66.67
5.3,2018,de 1 a 4 anos,10,1,10,21,47.62
5.3,2018,menores de 1 ano,65,2,28,95,68.42
5.3,2018,menores de 5 anos,75,3,38,116,64.66
5.3,2019,de 1 a 4 anos,8,2,6,16,50.0
5.3,2019,menores de 1 ano,68,2,25,95,71.58
5.3,2019,menores de 5 anos,76,4,31,111,68.47
5.3,2020,de 1 a 4 anos,4,0,4,8,50.0
5.3,2020,menores de 1 ano,61,3,31,95,64.21
5.3,2020,menores de 5 anos,65,3,35,103,63.11
5.3,2021,de 1 a 4 anos,8,0,4,12,66.67
5.3,2021,menores de 1 ano,61,4,22,87,70.11
5.3,2021,menores de 5 anos,69,4,26,99,69.7
5.3,2022,de 1 a 4 anos,10,0,3,13,76.92
5.3,2022,menores de 1 ano,45,1,30,76,59.21
5.3,2022,menores de 5 anos,55,1,33,89,61.8
5.3,2023,de 1 a 4 anos,7,0,6,13,53.85
5.3,2023,menores de 1 ano,46,0,24,70,65.71
5.3,2023,menores de 5 anos,53,0,30,83,63.86
5.3,2024,de 1 a 4 anos,7,0,6,13,53.85
5.3,2024,menores de 1 ano,50,0,22,72,69.44
5.3,2024,menores de 5 anos,57,0,28,85,67.06
5.3,2025,de 1 a 4 anos,10,0,6,16,62.5
5.3,2025,menores de 1 ano,57,1,18,76,75.0
5.3,2025,menores de 5 anos,67,1,24,92,72.83
