codigo,bairro,ano,obitos_amarela,obitos_branca,obitos_indigena,obitos_parda,obitos_preta,obitos_nao_informado,nascidos_amarela,nascidos_branca,nascidos_indigena,nascidos_parda,nascidos_preta,nascidos_nao_informado,percentual_amarela,percentual_branca,percentual_indigena,percentual_parda,percentual_preta,percentual_nao_informado
096,COCOTA,2007,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
110,COELHO NETO,2007,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,
077,COLEGIO,2007,0.0,1.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,
157,COMPLEXO DA MARE,2007,0.0,3.0,0.0,9.0,2.0,2.0,,,,,,,,,,,,
156,COMPLEXO DO ALEMAO,2007,0.0,1.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,
024,COPACABANA,2007,0.0,3.0,0.0,3.0,0.0,1.0,,,,,,,,,,,,
046,CORDOVIL,2007,0.0,2.0,0.0,4.0,1.0,1.0,,,,,,,,,,,,
019,COSME VELHO,2007,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
147,COSMOS,2007,0.0,1.0,0.0,4.0,1.0,0.0,,,,,,,,,,,,
113,COSTA BARROS,2007,0.0,7.0,0.0,5.0,1.0,3.0,,,,,,,,,,,,
119,CURICICA,2007,0.0,5.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
053,DEL CASTILHO,2007,0.0,0.0,0.0,1.0,0.0,2.0,,,,,,,,,,,,
134,DEODORO,2007,0.0,2.0,0.0,3.0,0.0,2.0,,,,,,,,,,,,
068,ENCANTADO,2007,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
081,ENGENHEIRO LEAL,2007,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
055,ENGENHO DA RAINHA,2007,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
066,ENGENHO DE DENTRO,2007,0.0,2.0,0.0,2.0,3.0,2.0,,,,,,,,,,,,
061,ENGENHO NOVO,2007,0.0,2.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,
009,ESTACIO,2007,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
015,FLAMENGO,2007,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,
