ano,idade,sexo,populacao,data_consulta
2023,1,feminino,31833,2026-09-24
2023,2,feminino,33639,2026-09-24
2023,3,feminino,35401,2026-09-24
2023,4,feminino,37297,2026-09-24
2023,5,feminino,38483,2026-09-24
2023,6,feminino,38368,2026-09-24
2023,0,masculino,31792,2026-09-24
2023,1,masculino,33167,2026-09-24
2023,2,masculino,35152,2026-09-24
2023,3,masculino,37031,2026-09-24
2023,4,masculino,39012,2026-09-24
2023,5,masculino,40293,2026-09-24
2023,6,masculino,40155,2026-09-24
2023,total,total,6735026,2026-09-24
2024,0,feminino,30210,2026-09-24
2024,1,feminino,30837,2026-09-24
2024,2,feminino,31975,2026-09-24
2024,3,feminino,33673,2026-09-24
2024,4,feminino,35362,2026-09-24
2024,5,feminino,37222,2026-09-24
2024,6,feminino,38406,2026-09-24
2024,0,masculino,31430,2026-09-24
2024,1,masculino,32202,2026-09-24
2024,2,masculino,33458,2026-09-24
2024,3,masculino,35253,2026-09-24
2024,4,masculino,37002,2026-09-24
2024,5,masculino,38913,2026-09-24
2024,6,masculino,40162,2026-09-24
2024,total,total,6729894,2026-09-24
2025,0,feminino,29950,2026-09-24
2025,1,feminino,30354,2026-09-24
2025,2,feminino,30891,2026-09-24
2025,3,feminino,31975,2026-09-24
2025,4,feminino,33660,2026-09-24
2025,5,feminino,35353,2026-09-24
2025,6,feminino,37229,2026-09-24
2025,0,masculino,31250,2026-09-24
2025,1,masculino,31728,2026-09-24
2025,2,masculino,32328,2026-09-24
2025,3,masculino,33460,2026-09-24
2025,4,masculino,35195,2026-09-24
2025,5,masculino,36929,2026-09-24
2025,6,masculino,38846,2026-09-24
2025,total,total,6730729,2026-09-24
