Bairro Residencia;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
155 JACAREZINHO;69;127;154;156;199;223;199;263;184;152;142;109;196;175;144;2492
156 COMPLEXO DO ALEMAO;93;224;470;427;480;460;593;362;312;95;148;145;236;274;188;4507
157 COMPLEXO DA MARE;841;1366;1518;1586;1516;768;1176;1165;858;747;954;741;945;842;854;15877
158 PARQUE COLUMBIA;0;0;10;8;37;31;30;38;38;25;36;16;56;45;45;415
159 VASCO DA GAMA;0;1;8;14;41;35;76;36;15;24;39;13;32;55;52;441
160 GERICINo;0;0;0;0;1;0;8;1;1;0;7;0;13;6;6;43
161 LAPA;0;0;0;0;0;0;0;21;9;13;8;8;10;21;10;100
162 VILA KENNEDY;0;0;0;0;0;0;1;202;125;136;63;28;140;116;109;920
163 JABOUR;0;0;0;0;0;0;0;0;0;0;0;1;0;8;9;18
164 ILHA DE GUARATIBA;0;0;0;0;0;0;0;0;0;0;0;0;6;30;48;84
165 BARRA OLIMPICA;0;0;0;0;0;0;0;0;0;0;0;0;0;119;114;233
998 ILHA DO GOVERNADOR - IGNORADO;8;47;7;3;19;121;106;170;145;75;34;2;5;2;3;747
999 IGNORADO BAIRRO-MRJ;89;151;18;80;28;49;55;142;181;107;35;47;69;18;10;1079
EM BRANCO;0;0;0;0;0;0;0;0;0;0;0;3505;3564;2987;2884;12940
Total;23058;39358;41993;46182;47308;43417;43963;42342;38600;35764;33633;33693;33114;29646;30494;562565
