Bairro Residencia;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
118 CIDADE DE DEUS;4;4;3;0;5;2;5;2;2;6;3;1;1;3;2;1;1;1;1;1;48
119 CURICICA;2;5;4;3;4;0;8;4;3;3;4;4;3;2;6;2;0;2;0;1;60
120 FREGUESIA-JPA;2;0;3;3;7;5;5;3;2;11;4;5;0;4;5;2;2;4;2;0;69
121 PECHINCHA;1;1;2;2;1;3;2;3;2;4;2;2;1;1;1;1;4;1;5;3;42
122 TAQUARA;8;7;7;9;17;7;11;6;8;13;8;7;5;3;9;6;7;10;2;5;155
123 TANQUE;3;0;3;1;3;3;3;3;4;1;7;2;2;0;2;1;0;1;1;2;42
124 PRACA SECA;2;3;2;5;6;4;4;2;3;4;5;5;3;4;2;3;2;4;4;3;70
125 VILA VALQUEIRE;0;3;1;1;3;1;3;5;4;1;2;1;1;2;1;1;1;0;4;0;35
126 JOA;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
127 ITANHANGA;1;6;3;3;2;0;5;4;6;3;11;5;5;4;6;7;6;9;2;6;94
128 BARRA DA TIJUCA;9;10;4;9;6;14;5;8;9;6;4;6;6;9;5;12;0;5;4;6;137
129 CAMORIM;0;0;1;1;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;1;7
130 VARGEM PEQUENA;1;0;0;0;2;3;3;0;2;1;1;0;0;0;4;0;2;3;1;0;23
131 VARGEM GRANDE;1;1;0;0;2;1;1;0;0;1;1;3;2;3;1;0;1;4;2;3;27
132 RECREIO BANDEIRANTES;6;4;4;6;7;7;1;6;6;11;4;12;5;6;7;4;4;7;10;7;124
134 DEODORO;0;2;0;1;1;2;1;0;0;2;0;0;0;1;0;0;0;0;0;0;10
135 VILA MILITAR;0;0;0;0;0;0;1;2;0;3;0;1;0;1;0;2;0;1;0;1;12
136 CAMPO DOS AFONSOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;4
137 JARDIM SULACAP;4;2;2;0;2;2;0;1;1;0;0;0;0;0;0;1;0;0;0;1;16
138 MAGALHAES BASTOS;2;3;1;3;3;3;2;1;1;2;1;1;1;0;3;1;1;0;0;3;32
139 REALENGO;19;15;12;14;10;13;12;13;7;14;9;6;13;12;5;7;5;4;7;4;201
140 PADRE MIGUEL;5;6;2;5;0;8;4;3;1;4;4;4;3;6;1;4;2;2;7;2;73
141 BANGU;21;18;18;25;20;16;27;13;12;13;9;7;10;8;16;13;10;6;5;6;273
142 SENADOR CAMARA;8;2;7;9;7;11;7;11;3;13;5;6;3;6;7;5;0;7;4;3;124
143 SANTISSIMO;7;4;3;5;4;5;3;4;2;4;6;1;5;7;4;2;2;2;2;0;72
144 CAMPO GRANDE;45;36;38;26;33;33;36;14;24;20;30;18;18;22;21;14;16;14;7;17;482
145 SENADOR VASCONCELOS;0;4;0;0;1;2;1;1;2;1;0;2;1;3;3;1;2;1;2;2;29
146 INHOAIBA;2;5;4;3;0;4;5;4;1;2;5;3;3;6;13;1;1;2;3;4;71
147 COSMOS;5;1;6;4;7;4;5;4;4;1;4;3;3;1;4;3;6;0;4;5;74
148 PACIENCIA;9;5;7;14;8;7;8;6;14;7;3;8;3;13;6;4;1;5;5;4;137
149 SANTA CRUZ;21;16;21;26;20;23;29;24;25;16;22;13;10;12;8;14;11;11;9;14;345
150 SEPETIBA;5;7;4;6;3;5;8;3;6;4;9;1;1;4;6;3;4;4;5;1;89
151 GUARATIBA;5;8;10;6;6;12;9;12;10;6;7;5;5;8;10;5;7;7;10;4;152
152 BARRA DE GUARATIBA;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;7
153 PEDRA DE GUARATIBA;8;2;4;3;1;4;2;1;5;5;0;3;0;1;1;0;2;0;2;1;45
154 ROCINHA;12;6;6;8;8;10;11;9;13;2;10;5;7;4;4;8;7;7;2;4;143
155 JACAREZINHO;1;1;2;1;2;2;0;2;0;2;1;3;1;1;0;0;2;2;0;0;23
156 COMPLEXO DO ALEMAO;2;1;1;2;0;3;1;2;1;4;3;3;2;0;3;1;9;2;4;1;45
